#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
15.0%	375000	749.9999999960886	-336324.43460599077	9441.821336051844	-326882.6132699389	296.88594568585415	27.3332711690299	1.2058134376511773	532	120.28696084022522	11:30
15.2%	380000	759.9999999958521	-336110.67162487353	9507.389714554578	-326603.28191031894	298.9476591377433	27.3332711690299	1.2058134376511773	532	121.91230154037476	11:29
15.4%	385000	769.9999999956157	-336078.833987102	9668.10693438655	-326410.7270527155	304.00120570461456	27.3332711690299	1.2058134376511773	532	123.53905892372131	11:27
15.6%	390000	779.9999999953792	-335950.6335849183	9457.88561417661	-326492.74797074165	297.39106627997313	27.3332711690299	1.2058134376511773	531	125.17233943939209	11:26
15.8%	395000	789.9999999951427	-335899.74840691546	9638.1460942714	-326261.60231264407	303.05912556620257	27.267654276120403	1.2087151075346951	531	126.80981492996216	11:24
16.0%	400000	799.9999999949063	-335815.90182773315	9653.593653423544	-326162.3081743096	303.54485422428587	27.267654276120403	1.2087151075346951	531	128.48097014427185	11:23
16.2%	405000	809.9999999946698	-336343.8980036479	9517.240540106352	-326826.65746354155	299.25740569570434	27.267654276120403	1.2087151075346951	531	130.11852097511292	11:21
16.4%	410000	819.9999999944333	-336103.8415617612	9561.446896379746	-326542.39466538146	300.64741779405233	27.228160602732412	1.210468314457946	531	131.74769687652588	11:19
16.6%	415000	829.9999999941969	-335974.47611130215	9606.995932064172	-326367.48017923796	302.0796487220635	27.23924359181322	1.2099758041917714	531	133.37508487701416	11:18
16.8%	420000	839.9999999939604	-335930.4495499512	9789.564452023102	-326140.88509792805	307.82028135758196	27.295685274279485	1.2074738310980089	531	134.9987506866455	11:16
17.0%	425000	849.9999999937239	-336200.4916615786	9656.82208436397	-326543.66957721463	303.6463680889011	27.295685274279485	1.2074738310980089	531	136.6299500465393	11:15
17.2%	430000	859.9999999934874	-335956.70579230407	9662.010542451853	-326294.6952498522	303.8095124898856	27.164348458334317	1.2133118422160292	531	138.25944542884827	11:13
17.4%	435000	869.999999993251	-336028.29358165094	9717.737073820654	-326310.5565078303	305.5617616986317	27.164348458334317	1.2133118422160292	531	139.88851737976074	11:11
17.6%	440000	879.9999999930145	-335834.7346130944	9420.360052037788	-326414.3745610566	296.2111231729755	27.173770765629623	1.2128911351628566	531	141.5166482925415	11:10
17.8%	445000	889.999999992778	-336153.57329686906	9334.051985622667	-326819.5213112464	293.49727687087153	27.165881027452876	1.2132433929631343	531	143.14406394958496	11:08
18.0%	450000	899.9999999925416	-336578.30686209013	9545.899594784876	-327032.40726730524	300.1585528629577	27.238549829939284	1.2100066220982524	531	144.81853342056274	11:07
18.2%	455000	909.9999999923051	-336165.0667081482	9651.587236716377	-326513.47947143187	303.4817650277902	27.20839521335349	1.2113476525217495	531	146.47207689285278	11:05
18.4%	460000	919.9999999920686	-336278.3611446826	9622.091887678891	-326656.26925700373	302.55432165848043	27.20132845144276	1.211662354263864	531	148.10091495513916	11:04
