zinc_id,gene_name,gene_name,affinity
ZINC000014943164,POL,POL,9.82
ZINC000014943165,POL,POL,9.82
ZINC000014943218,POL,POL,9.82
ZINC000014943397,POL,POL,9.82
ZINC000014943398,POL,POL,9.82
ZINC000026386231,POL,POL,9.82
ZINC000026479339,POL,POL,9.82
ZINC000028232371,POL,POL,9.82
ZINC000029253520,POL,POL,9.82
ZINC000029413258,POL,POL,9.82
ZINC000033360308,POL,POL,9.82
ZINC000038147108,POL,POL,9.82
ZINC000085548251,POL,POL,9.82
ZINC000095606522,POL,POL,9.82
ZINC000095606523,POL,POL,9.82
ZINC000095608213,POL,POL,9.82
ZINC000095612046,POL,POL,9.82
ZINC000095614417,POL,POL,9.82
ZINC000003931516,POL,POL,9.80
ZINC000003989597,POL,POL,9.80
ZINC000014943283,POL,POL,9.80
ZINC000014943285,POL,POL,9.80
ZINC000026165759,POL,POL,9.80
ZINC000026168815,POL,POL,9.80
ZINC000026820576,POL,POL,9.80
ZINC000027086120,POL,POL,9.80
ZINC000027323079,POL,POL,9.80
ZINC000027518816,POL,POL,9.80
ZINC000027518817,POL,POL,9.80
ZINC000029487842,POL,POL,9.80
ZINC000049872019,POL,POL,9.80
ZINC000095542308,POL,POL,9.80
ZINC000095546430,POL,POL,9.80
ZINC000095614620,POL,POL,9.80
ZINC000027650538,POL,POL,9.79
ZINC000003949958,POL,POL,9.77
ZINC000014943271,POL,POL,9.77
ZINC000014943276,POL,POL,9.77
ZINC000014943281,POL,POL,9.77
ZINC000014943284,POL,POL,9.77
ZINC000014951371,POL,POL,9.77
ZINC000026150366,POL,POL,9.77
ZINC000026165871,POL,POL,9.77
ZINC000026378012,POL,POL,9.77
ZINC000026477223,POL,POL,9.77
ZINC000026823872,POL,POL,9.77
ZINC000027081569,POL,POL,9.77
ZINC000028395290,POL,POL,9.77
ZINC000028395298,POL,POL,9.77
ZINC000028395311,POL,POL,9.77
ZINC000029346517,POL,POL,9.77
ZINC000029409891,POL,POL,9.77
ZINC000049794035,POL,POL,9.77
ZINC000100889052,POL,POL,9.77
ZINC000003982389,POL,POL,9.76
ZINC000100781616,POL,POL,9.76
ZINC000100781625,POL,POL,9.76
ZINC000253646333,POL,POL,9.76
ZINC000253646334,POL,POL,9.76
ZINC000024832394,POL,POL,9.75
ZINC000026752929,POL,POL,9.75
ZINC000026936407,POL,POL,9.75
ZINC000026952843,POL,POL,9.75
ZINC000014951389,POL,POL,9.74
ZINC000024447427,POL,POL,9.74
ZINC000026731172,POL,POL,9.74
ZINC000026820123,POL,POL,9.74
ZINC000026956775,POL,POL,9.74
ZINC000029404366,POL,POL,9.74
ZINC000029404370,POL,POL,9.74
ZINC000029555063,POL,POL,9.74
ZINC000095611310,POL,POL,9.74
ZINC000150572975,POL,POL,9.74
ZINC000253635904,POL,POL,9.74
